ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
21482,HX352058,07/19/2014 08:21:00 PM,009XX N MAYFIELD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,1511,015,29,25,01A,1136970,1905637,2014,04/29/2020 03:53:17 PM,41.89722235,-87.772378689,"(41.89722235, -87.772378689)"
21651,HX456217,05/28/2013 07:00:00 AM,133XX S AVENUE M,0110,HOMICIDE,FIRST DEGREE MURDER,GARAGE,true,true,0433,004,10,55,01A,1201752,1817070,2013,04/01/2020 03:50:17 PM,41.652781271,-87.537457711,"(41.652781271, -87.537457711)"
23563,JA420481,09/06/2017 05:27:00 AM,052XX W GLADYS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1522,015,29,25,01A,1141414,1897838,2017,03/19/2020 03:44:13 PM,41.875740039,-87.75624889,"(41.875740039, -87.75624889)"
20318,HV202542,03/17/2012 10:19:00 PM,064XX S ELLIS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,0314,003,20,42,01A,1184162,1862550,2012,03/15/2020 03:47:51 PM,41.778011482,-87.600400564,"(41.778011482, -87.600400564)"
23333,JA288087,06/03/2017 08:00:00 PM,055XX W CONGRESS PKWY,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,true,false,1522,015,29,25,01A,1139631,1897137,2017,03/12/2020 03:45:15 PM,41.873849112,-87.762812612,"(41.873849112, -87.762812612)"
20331,HV186143,03/12/2012 05:40:00 PM,042XX S INDIANA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0213,002,3,38,01A,1178302,1877043,2012,02/03/2020 03:46:36 PM,41.81791667,-87.62144331,"(41.81791667, -87.62144331)"
23254,JA235987,04/23/2017 01:06:00 PM,097XX S YALE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0511,005,21,49,01A,1176335,1840303,2017,01/01/2020 03:52:05 PM,41.717142482,-87.629761268,"(41.717142482, -87.629761268)"
20942,HW333884,06/24/2013 12:30:00 PM,065XX W ADDISON ST,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,1632,016,38,17,01A,1131922,1923229,2013,12/14/2019 03:48:22 PM,41.94558603,-87.790510641,"(41.94558603, -87.790510641)"
22885,HZ493460,10/29/2016 03:15:00 AM,005XX S CENTRAL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1522,015,29,25,01A,1139141,1897023,2016,11/21/2019 03:52:19 PM,41.873545204,-87.764614459,"(41.873545204, -87.764614459)"
23134,JA153356,02/14/2017 12:38:00 PM,020XX E 71ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,RETAIL STORE,true,false,0331,003,5,43,01A,1190958,1858322,2017,10/23/2019 04:07:44 PM,41.766247876,-87.575623169,"(41.766247876, -87.575623169)"
22627,HZ353096,07/17/2016 08:27:00 PM,005XX N LAVERGNE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1532,015,37,25,01A,1142935,1903109,2016,10/16/2019 04:05:26 PM,41.890176109,-87.750532837,"(41.890176109, -87.750532837)"
22852,HZ475009,10/15/2016 07:25:00 AM,026XX W 23RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1034,010,24,30,01A,1159089,1888631,2016,10/12/2019 03:56:03 PM,41.850130656,-87.691605154,"(41.850130656, -87.691605154)"
21058,HW431623,08/31/2013 11:19:00 AM,117XX S HALE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,true,false,2212,022,34,75,01A,1164670,1826809,2013,10/10/2019 04:11:30 PM,41.680366299,-87.672864196,"(41.680366299, -87.672864196)"
23534,JA398642,08/20/2017 05:35:00 AM,077XX N ASHLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STAIRWELL,true,false,2422,024,49,1,01A,1164297,1951172,2017,10/09/2019 04:16:48 PM,42.021638255,-87.670716847,"(42.021638255, -87.670716847)"
22657,HZ370588,07/30/2016 03:41:00 AM,000XX N LECLAIRE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1533,015,28,25,01A,1142384,1899759,2016,10/05/2019 04:04:25 PM,41.880993552,-87.752639639,"(41.880993552, -87.752639639)"
22523,HZ292845,06/04/2016 05:58:00 AM,063XX S HONORE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0726,007,15,67,01A,1165101,1862626,2016,09/26/2019 04:16:20 PM,41.778644591,-87.670276573,"(41.778644591, -87.670276573)"
22930,HZ505589,11/06/2016 11:37:00 PM,083XX S COTTAGE GROVE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0632,006,6,44,01A,1183012,1849848,2016,09/15/2019 03:59:13 PM,41.743182732,-87.605010707,"(41.743182732, -87.605010707)"
21502,HX375246,08/05/2014 04:30:00 PM,072XX S MORGAN ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0733,007,6,68,01A,1170897,1856795,2014,05/07/2020 03:45:36 PM,41.762519013,-87.64919809,"(41.762519013, -87.64919809)"
22502,HZ278320,05/24/2016 09:00:00 PM,057XX S CALUMET AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0232,002,20,40,01A,1179463,1867023,2016,05/05/2020 03:49:49 PM,41.790394439,-87.617490568,"(41.790394439, -87.617490568)"
23259,JA237720,04/24/2017 07:32:00 PM,029XX W WASHINGTON BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,1222,012,27,27,01A,1156738,1900541,2017,04/30/2020 03:47:59 PM,41.882860826,-87.699911209,"(41.882860826, -87.699911209)"
22488,HZ245274,05/09/2016 12:01:00 AM,068XX S SANGAMON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0723,007,6,68,01A,1171158,1859448,2016,09/14/2019 03:58:10 PM,41.769793473,-87.648164031,"(41.769793473, -87.648164031)"
20565,HV429244,08/13/2012 10:32:00 PM,057XX S ELIZABETH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0713,007,16,67,01A,1168969,1866719,2012,08/27/2019 04:02:53 PM,41.789793556,-87.655978004,"(41.789793556, -87.655978004)"
23092,JA121411,01/19/2017 10:01:00 AM,071XX S CARPENTER ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0733,007,6,68,01A,1170551,1857395,2017,07/17/2019 04:06:48 PM,41.764173033,-87.650448772,"(41.764173033, -87.650448772)"
23267,JA245787,05/01/2017 02:21:00 AM,027XX W 51ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0923,009,14,63,01A,1158805,1870726,2017,07/10/2019 04:06:15 PM,41.801003003,-87.693137158,"(41.801003003, -87.693137158)"
22143,HY458595,10/12/2015 03:05:00 AM,019XX W HARRISON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1231,012,27,28,01A,1163757,1897393,2015,07/09/2019 04:06:47 PM,41.874077392,-87.674225948,"(41.874077392, -87.674225948)"
21955,HY325525,07/03/2015 01:20:00 AM,091XX S ASHLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2221,022,21,73,01A,1167278,1844015,2015,07/09/2019 04:06:47 PM,41.727527094,-87.662827263,"(41.727527094, -87.662827263)"
22517,HZ291191,06/02/2016 11:36:00 PM,034XX W FLOURNOY ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1133,011,24,27,01A,1153451,1896817,2016,06/29/2019 03:57:37 PM,41.872707718,-87.712080245,"(41.872707718, -87.712080245)"
22964,HZ521215,11/19/2016 12:56:00 AM,035XX W 57TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,true,false,0822,008,23,63,01A,1153737,1866588,2016,06/27/2019 04:00:43 PM,41.78974981,-87.711833148,"(41.78974981, -87.711833148)"
20251,HT380510,01/19/2012 01:10:00 AM,005XX W CHESTNUT ST,0110,HOMICIDE,FIRST DEGREE MURDER,CHA GROUNDS,true,false,1823,018,27,8,01A,1172572,1906208,2012,06/26/2019 04:10:52 PM,41.898075998,-87.641600681,"(41.898075998, -87.641600681)"
20487,HV005095,06/30/2012 02:15:00 AM,025XX S KILDARE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,1013,010,22,30,01A,1148346,1886858,2012,06/18/2019 04:07:15 PM,41.84547885,-87.731079671,"(41.84547885, -87.731079671)"
20486,HV005095,06/30/2012 02:15:00 AM,025XX S KILDARE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,1013,010,22,30,01A,1148346,1886858,2012,06/18/2019 04:07:15 PM,41.84547885,-87.731079671,"(41.84547885, -87.731079671)"
23173,JA173527,03/03/2017 01:45:00 PM,073XX S KENWOOD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,0324,003,8,43,01A,1186479,1856599,2017,01/30/2020 03:54:03 PM,41.761626906,-87.592094503,"(41.761626906, -87.592094503)"
10985734,JA311807,06/18/2017 01:19:00 AM,020XX W DIVISION ST,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,true,false,1212,012,1,24,01B,1162514,1907985,2017,01/21/2020 03:49:17 PM,41.903168813,-87.678492886,"(41.903168813, -87.678492886)"
22322,HZ143553,02/07/2016 01:06:00 PM,039XX W AUGUSTA BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1112,011,37,23,01A,1150049,1906389,2016,01/10/2020 03:53:28 PM,41.899041206,-87.724321226,"(41.899041206, -87.724321226)"
23739,JA552276,12/17/2017 02:12:00 AM,040XX W IOWA ST,0110,HOMICIDE,FIRST DEGREE MURDER,DRIVEWAY,true,false,1111,011,37,23,01A,1149105,1905703,2017,01/03/2020 03:56:42 PM,41.897177087,-87.727806319,"(41.897177087, -87.727806319)"
21018,HW401231,08/10/2013 04:02:00 AM,024XX E 79TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0422,004,7,46,01A,1193721,1853058,2013,12/26/2019 03:45:16 PM,41.751735817,-87.565668145,"(41.751735817, -87.565668145)"
23001,HZ539266,12/04/2016 03:07:00 AM,063XX S DR MARTIN LUTHER KING JR DR,0110,HOMICIDE,FIRST DEGREE MURDER,RESTAURANT,true,false,0312,003,20,69,01A,1180013,1862902,2016,11/27/2019 03:53:35 PM,41.779073436,-87.615600014,"(41.779073436, -87.615600014)"
22191,HY515665,11/26/2015 02:29:00 PM,022XX W THOME AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2413,024,50,2,01A,1160401,1941463,2015,11/15/2019 03:57:36 PM,41.995078355,-87.685324619,"(41.995078355, -87.685324619)"
21765,HY163030,02/25/2015 06:37:00 AM,071XX N CLARK ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,2423,024,49,1,01A,1163291,1947613,2015,11/15/2019 03:57:36 PM,42.011893605,-87.674519739,"(42.011893605, -87.674519739)"
23448,JA348390,07/14/2017 10:50:00 PM,106XX S GREEN BAY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0432,004,10,52,01A,1200525,1834939,2017,11/13/2019 03:51:17 PM,41.701846601,-87.541346134,"(41.701846601, -87.541346134)"
23431,JA340827,07/09/2017 02:36:00 PM,000XX W 95TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,"CTA ""L"" PLATFORM",true,false,0634,006,21,49,01A,1177762,1841949,2017,11/12/2019 03:55:53 PM,41.721627204,-87.624485177,"(41.721627204, -87.624485177)"
23738,JA552283,12/17/2017 02:19:00 AM,011XX N ASHLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1213,012,1,24,01A,1165521,1907565,2017,11/09/2019 03:52:30 PM,41.901952785,-87.667459569,"(41.901952785, -87.667459569)"
23346,JA298661,06/08/2017 10:23:00 PM,062XX S INGLESIDE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,true,false,0313,003,20,42,01A,1183522,1863858,2017,10/30/2019 03:53:06 PM,41.781615697,-87.602706055,"(41.781615697, -87.602706055)"
20446,HV320622,06/05/2012 11:31:00 PM,068XX S CALUMET AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0322,003,20,69,01A,1179657,1859803,2012,10/26/2019 03:47:25 PM,41.770577612,-87.616999766,"(41.770577612, -87.616999766)"
20261,HV128858,01/23/2012 03:53:00 PM,020XX W 68TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0726,007,17,67,01A,1163965,1859558,2012,08/10/2019 04:01:09 PM,41.770249547,-87.674527403,"(41.770249547, -87.674527403)"
21739,HY130523,01/27/2015 09:00:00 PM,006XX E 51ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0223,002,4,38,01A,1181558,1871341,2015,08/07/2019 03:58:37 PM,41.802195281,-87.609675541,"(41.802195281, -87.609675541)"
21410,HX284618,05/31/2014 11:08:00 PM,038XX N ST LOUIS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1732,017,35,16,01A,1152369,1925483,2014,08/06/2019 04:08:18 PM,41.951391244,-87.715294405,"(41.951391244, -87.715294405)"
20485,HT329364,06/27/2012 06:26:00 AM,042XX S LAKE SHORE DR NB,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0214,002,4,36,01A,1185275,1877206,2012,07/25/2019 04:04:18 PM,41.818202578,-87.595859367,"(41.818202578, -87.595859367)"
20908,HV247777,04/18/2012 03:30:00 PM,016XX W MONTEREY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,false,2234,022,34,75,01A,1167412,1830143,2012,07/25/2019 04:04:18 PM,41.689457246,-87.662732131,"(41.689457246, -87.662732131)"
20932,T250490,06/15/2013 12:40:00 PM,001XX N LEAVITT ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1223,012,27,28,01A,1161719,1901073,2013,07/25/2019 04:04:18 PM,41.884218338,-87.681605933,"(41.884218338, -87.681605933)"
21188,B780332,10/27/2013 07:00:00 AM,009XX S CALIFORNIA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1135,011,28,27,01A,1157839,1895835,2013,07/25/2019 04:04:18 PM,41.869924732,-87.695996602,"(41.869924732, -87.695996602)"
